basic word,probability,word form Word2Vec
manner,0.00247535849372,way
manner,0.00245449241056,apolitically
manner,0.00243706347452,reasonably
activity,0.00537000400865,activity
activity,0.0034640038143,activities
activity,0.00314035359205,Activity
medium,0.00486973961824,medium
medium,0.00298981269948,middlewoman
medium,0.0028050796173,Medium
spectator,0.00486972228016,spectator
spectator,0.00325223511226,spectators
spectator,0.00286300601105,spectating
spectator,0.00235052738446,grandstand
spectator,0.00227509236064,fan
spectator,0.002262682377,Spectators
spectator,0.00222063414217,grandstands
spectator,0.00219592911709,bystander
professional,0.00436844214169,professional
professional,0.00261319906584,Professional
professional,0.00253586533002,amateur
professional,0.00246958548266,professionally
professional,0.00235014630803,professionals
professional,0.00225151275272,profession
professional,0.00219624617462,semiprofessional
professional,0.00210557215847,avocational
professional,0.00206868238025,aspiring
